Diff_X		Diff_Y		Pixels_Areas		Diff_Luminosity		TypeOfSteel		Steel_Plate_Thickness		Fault
1		1		8		8		0		40		32
1		1		8		8		0		40		32
0		0		5		4		0		40		32
0		1		7		6		0		40		32
1		1		8		9		0		40		32
0		1		8		6		0		40		32
0		1		5		4		0		40		32
0		1		5		4		0		40		32
0		0		6		4		0		40		32
0		1		6		4		0		40		32
1		1		11		6		0		40		32
1		1		9		9		0		40		32
0		0		5		4		0		40		32
6		6		22		15		0		40		32
7		4		22		22		0		40		32
1		1		12		18		0		40		32
1		1		12		18		0		40		32
1		1		11		11		0		40		32
1		2		12		17		0		40		32
1		1		11		13		0		40		32
1		4		15		6		0		40		32
2		3		16		7		1		80		32
11		38		172		31		0		40		32
12		12		45		24		0		40		32
12		12		41		25		0		40		32
12		12		45		25		0		40		32
14		12		44		24		0		40		32
12		11		40		25		0		40		32
18		12		40		23		0		40		32
12		12		42		24		0		40		32
12		12		41		24		0		40		32
13		12		41		23		0		40		32
11		11		36		23		0		40		32
11		11		37		23		0		40		32
16		11		39		24		0		40		32
11		12		37		24		0		40		32
12		12		38		25		0		40		32
11		12		37		23		0		40		32
14		11		36		26		0		40		32
16		12		36		25		0		40		32
11		12		37		24		0		40		32
11		11		38		24		0		40		32
11		12		38		23		0		40		32
11		11		38		24		0		40		32
11		11		40		23		0		40		32
11		12		38		23		0		40		32
11		12		37		23		0		40		32
11		11		38		23		0		40		32
11		11		34		23		0		40		32
18		11		36		23		0		40		32
11		11		37		23		0		40		32
1		1		11		3		0		40		32
2		2		13		2		0		40		32
11		11		36		22		0		40		32
11		11		35		22		0		40		32
11		11		35		24		0		40		32
1		1		11		2		0		40		32
11		11		36		24		0		40		32
11		11		34		23		0		40		32
11		11		35		24		0		40		32
11		11		33		22		0		40		32
11		11		36		23		0		40		32
11		11		36		23		0		40		32
11		11		34		23		0		40		32
11		11		33		23		0		40		32
11		11		33		22		0		40		32
11		12		36		23		0		40		32
3		5		19		3		0		40		32
11		11		35		24		0		40		32
11		11		31		23		0		40		32
11		11		35		23		0		40		32
11		11		33		22		0		40		32
14		11		31		22		0		40		32
11		11		33		22		0		40		32
11		11		35		23		0		40		32
11		11		32		22		0		40		32
11		11		31		22		0		40		32
11		11		31		22		0		40		32
11		11		32		22		0		40		32
2		3		15		3		0		40		32
3		3		16		4		0		40		32
11		11		30		23		0		40		32
11		11		31		23		0		40		32
2		5		17		4		0		40		32
11		11		31		23		0		40		32
11		11		30		22		0		40		32
11		11		34		23		0		40		32
11		11		32		22		0		40		32
11		11		32		21		0		40		32
11		11		33		21		0		40		32
11		11		33		22		0		40		32
11		11		32		22		0		40		32
11		11		34		22		0		40		32
11		11		34		22		0		40		32
11		11		32		21		0		40		32
11		11		33		22		0		40		32
11		11		33		21		0		40		32
11		11		30		20		0		40		32
11		11		31		23		0		40		32
11		11		33		22		0		40		32
11		11		32		21		0		40		32
11		11		32		21		0		40		32
11		11		33		21		0		40		32
11		11		33		20		0		40		32
11		11		32		22		0		40		32
11		11		31		22		0		40		32
11		11		31		21		0		40		32
11		11		33		20		0		40		32
11		11		30		23		0		40		32
11		11		32		21		0		40		32
11		11		31		22		0		40		32
11		11		31		20		0		40		32
11		11		31		22		0		40		32
11		11		33		21		0		40		32
11		11		31		21		0		40		32
11		11		31		21		0		40		32
11		11		30		21		0		40		32
11		11		33		21		0		40		32
11		11		32		22		0		40		32
11		11		32		20		0		40		32
11		11		31		20		0		40		32
11		11		32		20		0		40		32
13		11		30		21		0		40		32
11		11		29		20		0		40		32
11		11		30		20		0		40		32
11		11		31		20		0		40		32
11		11		30		20		0		40		32
11		11		30		20		0		40		32
11		11		29		20		0		40		32
11		11		31		19		0		40		32
11		11		29		20		0		40		32
11		7		25		20		0		40		32
11		5		24		17		0		40		32
11		11		29		20		0		40		32
11		11		30		19		0		40		32
11		5		24		17		0		40		32
11		5		25		16		0		40		32
11		11		29		20		0		40		32
11		7		25		17		0		40		32
11		7		25		18		0		40		32
11		11		29		20		0		40		32
11		11		29		20		0		40		32
11		11		28		20		0		40		32
11		11		29		19		0		40		32
11		11		28		20		0		40		32
7		7		22		4		0		40		32
11		5		25		17		0		40		32
11		11		28		18		0		40		32
11		7		25		18		0		40		32
11		5		25		2		0		40		32
11		5		24		17		0		40		32
11		11		28		21		0		40		32
11		5		25		16		0		40		32
11		8		25		18		0		40		32
6		7		21		4		0		40		32
7		11		22		5		0		40		32
11		8		26		18		0		40		32
11		11		28		17		0		40		32
11		11		27		18		0		40		32
11		6		25		16		0		40		32
11		8		26		17		0		40		32
11		5		24		18		0		40		32
11		7		25		19		0		40		32
11		6		24		19		0		40		32
3		1		13		4		0		40		32
2		1		12		4		0		40		32
11		4		24		15		0		40		32
11		4		23		17		0		40		32
11		4		24		17		0		40		32
11		5		24		17		0		40		32
5		11		22		4		0		40		32
11		5		23		21		0		40		32
2		0		11		3		0		40		32
11		5		24		19		0		40		32
11		5		24		16		0		40		32
11		4		24		17		0		40		32
11		4		23		16		0		40		32
11		4		23		16		0		40		32
11		4		23		16		0		40		32
11		5		23		17		0		40		32
11		4		23		17		0		40		32
11		4		23		17		0		40		32
11		4		23		15		0		40		32
11		4		23		15		0		40		32
11		4		23		16		0		40		32
11		4		24		17		0		40		32
11		4		23		16		0		40		32
11		4		24		16		0		40		32
11		5		24		15		0		40		32
11		4		23		17		0		40		32
11		4		24		16		0		40		32
11		5		24		15		0		40		32
11		4		23		16		0		40		32
11		5		25		15		0		40		32
11		6		26		14		0		40		32
11		6		26		13		0		40		32
11		7		26		16		0		40		32
11		7		26		17		0		40		32
3		1		12		3		0		40		32
11		6		25		15		0		40		32
11		5		25		16		0		40		32
11		5		25		16		0		40		32
3		1		12		3		0		40		32
3		1		12		4		0		40		32
11		6		25		16		0		40		32
11		6		26		17		0		40		32
11		6		26		16		0		40		32
11		6		25		16		0		40		32
11		6		25		16		0		40		32
11		6		26		16		0		40		32
11		5		26		16		0		40		32
11		6		26		15		0		40		32
11		5		26		17		0		40		32
11		6		26		16		0		40		32
11		6		26		15		0		40		32
11		6		26		16		0		40		32
7		8		22		4		0		40		32
11		6		25		17		0		40		32
6		7		22		4		0		40		32
11		6		25		15		0		40		32
6		7		21		4		0		40		32
7		7		21		4		0		40		32
11		6		25		0		0		40		32
11		6		25		17		0		40		32
7		8		22		4		0		40		32
11		6		26		16		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
11		6		27		17		0		40		32
11		6		26		17		0		40		32
11		6		27		15		0		40		32
11		6		26		17		0		40		32
11		7		26		16		0		40		32
11		6		26		18		0		40		32
8		7		21		4		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
11		7		26		15		0		40		32
11		6		25		16		0		40		32
11		6		26		17		0		40		32
11		6		26		16		0		40		32
11		8		26		17		0		40		32
11		6		26		16		0		40		32
11		7		26		16		0		40		32
11		6		26		17		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
0		0		0		1		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		7		26		17		0		40		32
11		6		26		16		0		40		32
11		8		26		18		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		7		26		17		0		40		32
7		5		21		4		0		40		32
11		7		26		17		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		6		26		17		0		40		32
11		6		26		16		0		40		32
11		6		27		16		0		40		32
11		6		26		16		0		40		32
11		6		26		17		0		40		32
11		7		27		18		0		40		32
11		7		26		16		0		40		32
11		6		26		16		0		40		32
9		8		22		5		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
11		7		26		16		0		40		32
11		7		26		17		0		40		32
11		6		26		17		0		40		32
11		7		26		17		0		40		32
11		6		26		16		0		40		32
11		5		26		17		0		40		32
11		6		26		17		0		40		32
0		0		0		2		0		40		32
11		6		26		17		0		40		32
11		5		25		17		0		40		32
11		6		26		17		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
11		7		26		16		0		40		32
11		6		26		17		0		40		32
11		6		26		15		0		40		32
11		7		26		17		0		40		32
11		6		25		17		0		40		32
11		6		26		18		0		40		32
6		8		22		3		0		40		32
11		6		25		17		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
11		6		26		15		0		40		32
11		6		25		16		0		40		32
11		6		25		15		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
11		6		25		17		0		40		32
5		6		21		4		0		40		32
11		6		26		16		0		40		32
11		7		26		18		0		40		32
11		6		26		17		0		40		32
11		6		26		16		0		40		32
11		6		26		17		0		40		32
11		8		26		18		0		40		32
11		6		26		16		0		40		32
3		1		12		3		0		40		32
11		6		26		17		0		40		32
11		6		25		16		0		40		32
11		6		25		16		0		40		32
3		1		12		5		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
11		7		26		15		0		40		32
11		7		26		18		0		40		32
11		6		26		16		0		40		32
11		6		26		17		0		40		32
11		6		26		15		0		40		32
11		7		26		16		0		40		32
2		1		11		3		0		40		32
11		6		27		17		0		40		32
11		6		26		15		0		40		32
11		7		26		15		0		40		32
11		6		26		16		0		40		32
11		6		26		16		0		40		32
11		5		25		16		0		40		32
11		5		25		16		0		40		32
11		5		26		16		0		40		32
11		6		25		16		0		40		32
11		6		25		15		0		40		32
11		6		25		16		0		40		32
11		6		25		16		0		40		32
11		5		24		12		0		40		32
11		5		24		12		0		40		32
11		5		24		12		0		40		32
11		5		24		11		0		40		32
11		5		24		14		0		40		32
11		5		24		12		0		40		32
11		4		23		12		0		40		32
11		4		23		12		0		40		32
11		5		24		11		0		40		32
11		5		24		11		0		40		32
11		4		23		10		0		40		32
11		5		23		11		0		40		32
11		5		23		11		0		40		32
17		11		34		19		0		50		32
12		11		36		20		0		50		32
12		11		33		19		0		50		32
12		11		35		23		0		40		32
18		11		35		24		0		40		32
11		5		23		12		0		40		32
11		5		23		13		0		40		32
11		4		23		13		0		40		32
11		4		23		14		0		40		32
11		11		25		16		0		40		32
11		4		23		13		0		40		32
11		11		26		18		0		40		32
11		11		27		19		0		40		32
11		11		27		19		0		40		32
4		12		25		26		0		40		32
2		1		12		9		0		40		32
2		0		6		3		1		100		16
0		0		2		6		0		50		16
0		1		8		5		0		50		16
1		0		4		2		0		50		16
0		0		1		5		0		50		16
0		0		1		6		0		50		16
0		0		1		7		0		50		16
0		0		1		3		0		50		16
0		0		1		6		0		50		16
0		0		1		5		0		50		16
0		0		1		5		0		50		16
0		0		1		2		0		50		16
0		0		1		6		0		50		16
0		0		1		3		0		50		16
0		0		1		5		0		50		16
1		1		6		7		0		50		16
0		0		1		6		0		50		16
0		0		1		2		0		50		16
0		0		1		4		0		50		16
0		0		1		2		0		50		16
0		0		1		5		0		50		16
0		0		1		5		0		50		16
0		0		0		3		0		50		16
0		0		0		5		0		50		16
0		0		0		4		0		50		16
0		0		0		5		0		50		16
0		0		0		6		0		50		16
0		0		0		3		0		50		16
0		0		1		2		0		50		16
0		0		1		6		0		50		16
0		0		1		2		0		50		16
1		0		2		3		0		50		16
0		0		1		5		0		50		16
2		1		6		8		0		50		16
0		0		1		6		0		50		16
0		0		1		5		0		50		16
0		0		1		3		0		50		16
1		0		2		4		0		50		16
0		0		1		3		0		50		16
0		0		1		2		0		50		16
0		0		1		7		0		50		16
0		0		1		5		0		50		16
0		0		1		3		0		50		16
0		0		1		5		0		50		16
0		0		1		2		0		50		16
0		0		1		5		0		50		16
0		0		1		6		0		50		16
0		0		1		4		0		50		16
0		0		1		3		0		50		16
0		0		1		2		0		50		16
1		0		3		4		0		50		16
0		0		1		6		0		50		16
0		0		1		3		0		50		16
0		0		1		6		0		50		16
0		0		2		2		0		50		16
0		0		1		7		0		50		16
1		0		2		2		0		50		16
1		0		4		3		0		50		16
0		0		1		7		0		50		16
0		0		1		4		0		50		16
0		0		1		3		0		50		16
0		0		1		6		0		50		16
0		0		1		8		0		50		16
0		0		1		7		0		50		16
0		0		1		4		0		50		16
1		0		2		4		0		50		16
0		0		2		4		0		50		16
0		0		2		4		0		50		16
1		0		1		3		0		50		16
0		0		1		7		0		50		16
0		0		1		6		0		50		16
0		0		1		3		0		50		16
1		3		12		9		0		120		8
1		5		13		18		0		120		8
1		6		13		5		0		120		8
0		3		12		6		0		120		8
1		8		15		6		0		120		8
2		7		15		6		0		120		8
0		11		17		7		0		50		8
0		3		11		3		0		40		8
0		2		9		4		0		40		8
0		3		11		4		0		40		8
0		3		11		4		0		40		8
0		4		11		4		0		40		8
0		3		7		3		0		40		8
0		2		8		4		0		40		8
0		1		7		4		0		40		8
0		1		6		3		0		40		8
0		2		11		4		0		40		8
0		2		5		5		0		40		8
0		1		6		3		0		40		8
3		0		11		5		1		69		8
1		0		5		5		1		69		8
2		0		11		4		1		69		8
2		0		8		5		1		69		8
2		0		5		4		1		69		8
2		0		6		5		1		69		8
1		0		7		4		1		69		8
2		11		22		22		1		69		8
0		1		7		5		1		143		8
0		3		11		5		0		100		8
1		8		15		6		0		100		8
1		11		17		7		0		100		8
1		9		15		7		0		100		8
1		11		21		7		0		100		8
1		11		21		6		0		100		8
1		11		14		7		0		100		8
1		11		16		6		0		100		8
0		5		13		6		0		100		8
1		11		15		6		0		100		8
1		8		14		8		0		100		8
0		8		14		6		0		100		8
1		11		19		9		0		100		8
1		11		17		5		0		100		8
1		11		19		6		0		100		8
1		9		17		6		0		100		8
1		11		19		6		0		100		8
1		11		16		7		0		100		8
0		2		11		4		0		100		8
0		2		11		3		0		100		8
0		2		8		3		0		100		8
0		1		5		4		0		100		8
0		2		11		4		0		100		8
0		2		11		5		0		100		8
0		1		6		4		0		100		8
0		2		8		3		0		100		8
1		1		8		4		0		100		8
1		1		11		7		1		100		4
9		7		21		10		1		80		4
0		1		4		4		1		120		4
1		5		15		12		0		290		4
1		1		11		6		0		185		4
2		5		16		4		0		200		4
1		1		11		15		0		200		4
1		2		12		7		0		50		4
0		2		11		4		0		50		4
1		4		13		5		0		50		4
0		2		12		7		0		70		4
2		0		11		3		0		40		4
0		3		11		5		0		40		4
1		1		11		7		0		50		4
1		1		11		9		0		70		4
1		2		12		5		1		70		4
1		1		11		9		1		70		4
4		0		11		5		1		50		4
1		1		11		9		1		50		4
3		2		15		6		0		50		4
2		1		11		6		0		50		4
1		2		11		10		0		50		4
1		2		12		14		1		80		4
1		1		11		5		1		80		4
1		1		11		9		1		60		4
0		1		5		6		1		60		4
0		1		8		6		1		60		4
0		0		3		5		1		60		4
0		0		4		7		1		60		4
0		0		3		5		1		60		4
0		0		3		6		1		60		4
1		0		6		8		1		60		4
0		0		3		6		1		60		4
0		0		3		5		1		60		4
0		0		3		5		1		60		4
1		0		6		9		1		60		4
1		1		6		8		1		60		4
1		1		11		9		1		60		4
1		1		11		12		1		60		4
0		1		6		6		1		60		4
0		1		11		8		1		60		4
3		3		16		13		1		60		4
1		1		9		8		1		60		4
1		1		6		5		1		60		4
0		1		6		7		1		60		4
0		3		11		8		1		60		4
1		1		7		8		1		60		4
1		1		8		6		1		60		4
1		1		8		8		1		60		4
0		0		5		7		1		60		4
1		2		12		9		1		60		4
1		2		11		7		1		60		4
0		1		11		8		1		60		4
1		2		11		7		1		60		4
1		1		11		9		1		60		4
2		2		13		13		1		60		4
0		1		5		6		1		60		4
1		1		11		8		1		60		4
1		1		8		5		1		60		4
1		1		8		9		1		60		4
0		1		5		5		1		60		4
2		3		16		16		1		60		4
1		1		6		6		1		60		4
1		1		11		11		1		60		4
3		2		16		16		1		60		4
1		2		11		9		1		60		4
0		1		7		7		1		60		4
1		1		11		10		1		60		4
1		0		8		6		1		60		4
1		2		11		5		1		60		4
0		1		9		8		1		60		4
1		1		11		10		1		60		4
0		1		6		5		1		60		4
0		1		9		6		1		60		4
1		1		11		8		1		60		4
2		1		12		5		1		60		4
0		1		7		6		1		60		4
1		0		6		7		1		60		4
1		1		11		10		1		60		4
1		1		6		4		1		60		4
0		0		5		5		1		60		4
0		1		6		7		1		60		4
3		4		18		6		1		70		4
0		1		6		12		1		70		4
1		1		5		4		1		70		4
0		1		7		12		1		70		4
2		9		21		5		1		70		4
2		9		21		7		1		70		4
0		1		6		4		1		70		4
0		1		6		7		1		70		4
1		2		12		6		1		70		4
1		0		7		9		1		70		4
0		0		5		7		1		70		4
1		1		7		7		1		70		4
1		2		12		9		1		70		4
0		0		5		4		1		70		4
1		1		8		5		1		70		4
0		0		5		6		1		70		4
1		1		11		8		1		70		4
2		2		13		16		1		70		4
0		1		6		5		1		70		4
1		1		11		5		0		40		4
0		2		7		3		0		40		4
8		2		18		6		0		40		4
0		0		5		5		0		40		4
0		2		11		4		0		40		4
0		1		5		5		0		40		4
0		1		8		5		0		40		4
0		1		5		4		0		40		4
0		1		6		4		0		40		4
0		1		7		4		0		40		4
0		2		11		4		0		40		4
0		1		6		4		0		40		4
0		0		5		7		0		40		4
1		1		11		5		0		40		4
0		1		6		5		0		40		4
1		1		7		3		0		40		4
1		1		8		3		0		40		4
1		0		5		2		0		40		4
2		1		11		9		1		69		4
1		0		5		7		1		69		4
1		3		11		6		1		69		4
1		2		12		12		1		69		4
0		1		8		6		1		69		4
0		2		11		5		1		69		4
